,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address
0,002025000052,Criminal Sexual Assault,1/2/2025,1:50 ,1/2/2025,1:50 ,,"pm DeKalb, IL Referred To",01/02/2025,0
1,002024015726,Stalking,11/26/2024,12:04 ,9/1/2024,12:00 ,,pm Patterson Hall West Closed By,01/06/2025,0
2,002025000274,Motor Vehicle Theft,1/7/2025,11:19 ,1/7/2025,11:15 ,,pm Lot X Open,01/07/2025,0
3,002025000274,Theft Over $500,1/7/2025,11:19 ,1/7/2025,11:15 ,,Open,01/07/2025,Unknown
4,002025000294,Disorderly Conduct,1/8/2025,9:05 AM,1/8/2025,12:03 PM,,5 Northern View Cir Suspended,01/08/2025,0
5,002024013138,Criminal Sexual Assault,10/8/2024,9:41 PM,10/8/2024,9:41 PM,,Stevenson Complex Closed By,01/09/2025,0
6,002025000274,Motor Vehicle Theft,1/7/2025,11:19 PM,1/7/2025,11:15 PM,,Lot X Closed By,01/09/2025,0
7,002025000274,Theft Over $500,1/7/2025,11:19 PM,1/7/2025,11:15 PM,,Closed By,01/09/2025,Unknown
8,002025000528,Domestic Battery,1/9/2025,4:32 PM,1/9/2025,4:32 PM,,Stevenson South Suspended,01/09/2025,0
9,002025000528,Unlawful Restraint,1/9/2025,4:32 PM,1/9/2025,4:32 PM,,Suspended,01/09/2025,Unknown
10,002025000338,Burglary,1/10/2025,8:40 ,1/8/2025,7:00 ,,pm Swen Parson Open,01/10/2025,0
11,002025000338,Theft Over $500,1/10/2025,8:40 ,1/8/2025,7:00 ,,Open,01/10/2025,Unknown
12,002025000534,Disorderly Conduct,1/13/2025,3:08 PM,1/13/2025,3:00 PM,,Holmes Student Center Closed By,01/13/2025,0
13,002025000536,Criminal Trespass To Real Property,1/13/2025,4:19 PM,1/13/2025,4:19 PM,,Holmes Student Center Closed By,01/13/2025,0
14,002025000941,"Tamper w/Sec, Fire, or Life Safety",1/15/2025,11:14 PM,1/15/2025,11:14 PM,,Grant North Suspended,01/15/2025,0
15,002024011909,Theft $500 and Under,9/16/2024,11:41 ,5/8/2024,6:30 ,,pm Neptune West Suspended,01/16/2025,0
16,002024015666,Theft $500 and Under,11/25/2024,12:31 ,11/14/2024,8:04 ,,am Northern View Suspended,01/16/2025,0
17,002025000765,Criminal Trespass To Real Property,1/17/2025,2:43 AM,1/17/2025,3:28 AM,,Grant Complex Closed By,01/17/2025,0
18,002025000775,Criminal Sexual Abuse,1/17/2025,9:20 AM,1/15/2025,3:30 PM,,"Rockford, IL Referred To",01/17/2025,0
19,002025000787,"Tamper w/Sec, Fire, or Life Safety",1/17/2025,4:44 PM,1/17/2025,4:44 PM,,Grant North Suspended,01/17/2025,0
20,002025000815,Domestic Battery,1/18/2025,10:20 ,1/18/2025,10:15 ,,am Patterson Hall East Suspended,01/18/2025,0
21,002024015140,Theft $500 and Under,11/15/2024,6:17 ,11/15/2024,6:00 ,,pm Altgeld Hall Open,01/20/2025,0
22,002024015140,Theft of Lost or Mislaid Property,11/15/2024,6:17 ,11/15/2024,6:00 ,,Open,01/20/2025,Unknown
23,002025000871,Battery,1/20/2025,12:42 ,1/20/2025,12:30 ,,pm Holmes Student Center Open,01/20/2025,0
24,002025000919,Intimidation,1/21/2025,10:24 AM,12/18/2024,12:00 PM,,Neptune West Open,01/21/2025,0
