...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column
0,002025000052,Criminal Sexual Assault,1/2/2025,01:50:00,1/2/2025,01:50:00,NA,"DeKalb, IL Referred To",01/02/2025,0,"DeKalb, IL",Referred To
1,002024015726,Stalking,11/26/2024,12:04:00,9/1/2024,12:00:00,NA,Patterson Hall West Closed By,01/06/2025,0,Patterson Hall West,Closed By
2,002025000274,Motor Vehicle Theft,1/7/2025,11:19:00,1/7/2025,11:15:00,NA,Lot X Open,01/07/2025,0,Lot X,Open
3,002025000274,Theft Over $500,1/7/2025,11:19:00,1/7/2025,11:15:00,NA,Open,01/07/2025,Unknown,,Open
4,002025000294,Disorderly Conduct,1/8/2025,09:05:00,1/8/2025,12:03:00,NA,5 Northern View Cir Suspended,01/08/2025,0,5 Northern View Cir,Suspended
5,002024013138,Criminal Sexual Assault,10/8/2024,21:41:00,10/8/2024,21:41:00,NA,Stevenson Complex Closed By,01/09/2025,0,Stevenson Complex,Closed By
6,002025000274,Motor Vehicle Theft,1/7/2025,23:19:00,1/7/2025,23:15:00,NA,Lot X Closed By,01/09/2025,0,Lot X,Closed By
7,002025000274,Theft Over $500,1/7/2025,23:19:00,1/7/2025,23:15:00,NA,Closed By,01/09/2025,Unknown,,Closed By
8,002025000528,Domestic Battery,1/9/2025,16:32:00,1/9/2025,16:32:00,NA,Stevenson South Suspended,01/09/2025,0,Stevenson South,Suspended
9,002025000528,Unlawful Restraint,1/9/2025,16:32:00,1/9/2025,16:32:00,NA,Suspended,01/09/2025,Unknown,,Suspended
10,002025000338,Burglary,1/10/2025,08:40:00,1/8/2025,07:00:00,NA,Swen Parson Open,01/10/2025,0,Swen Parson,Open
11,002025000338,Theft Over $500,1/10/2025,08:40:00,1/8/2025,07:00:00,NA,Open,01/10/2025,Unknown,,Open
12,002025000534,Disorderly Conduct,1/13/2025,15:08:00,1/13/2025,15:00:00,NA,Holmes Student Center Closed By,01/13/2025,0,Holmes Student Center,Closed By
13,002025000536,Criminal Trespass To Real Property,1/13/2025,16:19:00,1/13/2025,16:19:00,NA,Holmes Student Center Closed By,01/13/2025,0,Holmes Student Center,Closed By
14,002025000941,"Tamper w/Sec, Fire, or Life Safety",1/15/2025,23:14:00,1/15/2025,23:14:00,NA,Grant North Suspended,01/15/2025,0,Grant North,Suspended
15,002024011909,Theft $500 and Under,9/16/2024,11:41:00,5/8/2024,06:30:00,NA,Neptune West Suspended,01/16/2025,0,Neptune West,Suspended
16,002024015666,Theft $500 and Under,11/25/2024,12:31:00,11/14/2024,08:04:00,NA,Northern View Suspended,01/16/2025,0,Northern View,Suspended
17,002025000765,Criminal Trespass To Real Property,1/17/2025,02:43:00,1/17/2025,03:28:00,NA,Grant Complex Closed By,01/17/2025,0,Grant Complex,Closed By
18,002025000775,Criminal Sexual Abuse,1/17/2025,09:20:00,1/15/2025,15:30:00,NA,"Rockford, IL Referred To",01/17/2025,0,"Rockford, IL",Referred To
19,002025000787,"Tamper w/Sec, Fire, or Life Safety",1/17/2025,16:44:00,1/17/2025,16:44:00,NA,Grant North Suspended,01/17/2025,0,Grant North,Suspended
20,002025000815,Domestic Battery,1/18/2025,10:20:00,1/18/2025,10:15:00,NA,Patterson Hall East Suspended,01/18/2025,0,Patterson Hall East,Suspended
21,002024015140,Theft $500 and Under,11/15/2024,06:17:00,11/15/2024,06:00:00,NA,Altgeld Hall Open,01/20/2025,0,Altgeld Hall,Open
22,002024015140,Theft of Lost or Mislaid Property,11/15/2024,06:17:00,11/15/2024,06:00:00,NA,Open,01/20/2025,Unknown,,Open
23,002025000871,Battery,1/20/2025,12:42:00,1/20/2025,12:30:00,NA,Holmes Student Center Open,01/20/2025,0,Holmes Student Center,Open
24,002025000919,Intimidation,1/21/2025,10:24:00,12/18/2024,12:00:00,NA,Neptune West Open,01/21/2025,0,Neptune West,Open
25,002025000943,"Tamper w/Sec, Fire, Life Safety Systems",1/21/2025,14:44:00,1/21/2025,07:00:00,NA,Stevenson Complex Suspended,01/21/2025,0,Stevenson Complex,Suspended
26,002025000945,Criminal Damage To Govern. Sup.,1/21/2025,15:31:00,1/19/2025,16:00:00,NA,Northern View Open,01/21/2025,0,Northern View,Open
27,002025000990,Stalking,1/21/2025,11:30:00,1/21/2025,11:30:00,NA,Psychology / Computer Science Suspended,01/21/2025,0,Psychology / Computer Science,Suspended
28,002025000992,Criminal Defacement Of Property,1/21/2025,16:43:00,1/21/2025,16:43:00,NA,Psychology / Computer Science Suspended,01/21/2025,0,Psychology / Computer Science,Suspended
29,002025001003,Criminal Sexual Assault,1/21/2025,19:43:00,1/21/2025,19:43:00,NA,Grant Complex Suspended,01/21/2025,0,Grant Complex,Suspended
30,002025001005,"Tamper w/Sec, Fire, Life Safety Systems",1/21/2025,20:02:00,1/21/2025,20:02:00,NA,Stevenson Complex Suspended,01/21/2025,0,Stevenson Complex,Suspended
31,002024005267,Battery,4/19/2024,05:36:00,4/19/2024,05:36:00,NA,Neptune Complex Closed By,01/22/2025,0,Neptune Complex,Closed By
32,002024005267,Battery,4/19/2024,05:36:00,4/19/2024,05:36:00,NA,Closed By,01/22/2025,Unknown,,Closed By
33,002025000983,Leaving Scene Property Damage,1/22/2025,07:38:00,1/22/2025,07:30:00,NA,Lot C Closed By,01/22/2025,0,Lot C,Closed By
34,002025001002,Criminal Trespass To Real Property,1/22/2025,01:34:00,1/22/2025,01:38:00,NA,Grant North Closed By,01/22/2025,0,Grant North,Closed By
35,002025001094,Illegal Possession Of Alcohol By,1/24/2025,02:46:00,1/24/2025,02:46:00,NA,Stevenson North Suspended,01/24/2025,0,Stevenson North,Suspended
36,002025001130,False Fire Alarm,1/24/2025,09:01:00,1/24/2025,09:01:00,NA,Parking Deck Suspended,01/24/2025,0,Parking Deck,Suspended
37,002025001265,Battery,1/24/2025,08:53:00,1/24/2025,08:53:00,NA,Neptune West Suspended,01/24/2025,0,Neptune West,Suspended
38,002025001363,Battery,1/24/2025,09:32:00,1/24/2025,09:32:00,NA,Stevenson North Suspended,01/24/2025,0,Stevenson North,Suspended
39,002024015140,Theft $500 and Under,11/15/2024,06:17:00,11/15/2024,06:00:00,NA,Altgeld Hall Suspended,01/25/2025,0,Altgeld Hall,Suspended
40,002024015140,Theft of Lost or Mislaid Property,11/15/2024,06:17:00,11/15/2024,06:00:00,NA,Suspended,01/25/2025,Unknown,,Suspended
41,002025000338,Burglary,1/10/2025,08:40:00,1/8/2025,07:00:00,NA,Swen Parson Closed By,01/25/2025,0,Swen Parson,Closed By
42,002025000338,Theft Over $500,1/10/2025,08:40:00,1/8/2025,07:00:00,NA,Closed By,01/25/2025,Unknown,,Closed By
