...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column
0,002025000052,Criminal Sexual Assault,1/2/25,1:50:00,1/2/25,1:50:00,NA,"DeKalb, IL Referred To",1/2/25,0,"DeKalb, IL",Referred To
1,002024015726,Stalking,11/26/24,12:04:00,9/1/24,12:00:00,NA,Patterson Hall West Closed By,1/6/25,0,Patterson Hall West,Closed By
2,002025000274,Motor Vehicle Theft,1/7/25,11:19:00,1/7/25,11:15:00,NA,Lot X Open,1/7/25,0,Lot X,Open
3,002025000274,Theft Over $500,1/7/25,11:19:00,1/7/25,11:15:00,NA,Open,1/7/25,Unknown,Lot X,Open
4,002025000294,Disorderly Conduct,1/8/25,9:05:00,1/8/25,12:03:00,NA,5 Northern View Cir Suspended,1/8/25,0,5 Northern View Cir,Suspended
5,002024013138,Criminal Sexual Assault,10/8/24,21:41:00,10/8/24,21:41:00,NA,Stevenson Complex Closed By,1/9/25,0,Stevenson Complex,Closed By
6,002025000274,Motor Vehicle Theft,1/7/25,23:19:00,1/7/25,23:15:00,NA,Lot X Closed By,1/9/25,0,Lot X,Closed By
7,002025000274,Theft Over $500,1/7/25,23:19:00,1/7/25,23:15:00,NA,Closed By,1/9/25,Unknown,Lot X,Closed By
8,002025000528,Domestic Battery,1/9/25,16:32:00,1/9/25,16:32:00,NA,Stevenson South Suspended,1/9/25,0,Stevenson South,Suspended
9,002025000528,Unlawful Restraint,1/9/25,16:32:00,1/9/25,16:32:00,NA,Suspended,1/9/25,Unknown,Stevenson South,Suspended
10,002025000338,Burglary,1/10/25,8:40:00,1/8/25,7:00:00,NA,Swen Parson Open,1/10/25,0,Swen Parson,Open
11,002025000338,Theft Over $500,1/10/25,8:40:00,1/8/25,7:00:00,NA,Open,1/10/25,Unknown,Swen Parson,Open
12,002025000534,Disorderly Conduct,1/13/25,15:08:00,1/13/25,15:00:00,NA,Holmes Student Center Closed By,1/13/25,0,Holmes Student Center,Closed By
13,002025000536,Criminal Trespass To Real Property,1/13/25,16:19:00,1/13/25,16:19:00,NA,Holmes Student Center Closed By,1/13/25,0,Holmes Student Center,Closed By
14,002025000941,"Tamper w/Sec, Fire, or Life Safety",1/15/25,23:14:00,1/15/25,23:14:00,NA,Grant North Suspended,1/15/25,0,Grant North,Suspended
15,002024011909,Theft $500 and Under,9/16/24,11:41:00,5/8/24,6:30:00,NA,Neptune West Suspended,1/16/25,0,Neptune West,Suspended
16,002024015666,Theft $500 and Under,11/25/24,12:31:00,11/14/24,8:04:00,NA,Northern View Suspended,1/16/25,0,Northern View,Suspended
17,002025000765,Criminal Trespass To Real Property,1/17/25,2:43:00,1/17/25,3:28:00,NA,Grant Complex Closed By,1/17/25,0,Grant Complex,Closed By
18,002025000775,Criminal Sexual Abuse,1/17/25,9:20:00,1/15/25,15:30:00,NA,"Rockford, IL Referred To",1/17/25,0,"Rockford, IL",Referred To
19,002025000787,"Tamper w/Sec, Fire, or Life Safety",1/17/25,16:44:00,1/17/25,16:44:00,NA,Grant North Suspended,1/17/25,0,Grant North,Suspended
20,002025000815,Domestic Battery,1/18/25,10:20:00,1/18/25,10:15:00,NA,Patterson Hall East Suspended,1/18/25,0,Patterson Hall East,Suspended
21,002024015140,Theft $500 and Under,11/15/24,6:17:00,11/15/24,6:00:00,NA,Altgeld Hall Open,1/20/25,0,Altgeld Hall,Open
22,002024015140,Theft of Lost or Mislaid Property,11/15/24,6:17:00,11/15/24,6:00:00,NA,Open,1/20/25,Unknown,Altgeld Hall,Open
23,002025000871,Battery,1/20/25,12:42:00,1/20/25,12:30:00,NA,Holmes Student Center Open,1/20/25,0,Holmes Student Center,Open
24,002025000919,Intimidation,1/21/25,10:24:00,12/18/24,12:00:00,NA,Neptune West Open,1/21/25,0,Neptune West,Open
25,002025000943,"Tamper w/Sec, Fire, Life Safety Systems",1/21/25,14:44:00,1/21/25,7:00:00,NA,Stevenson Complex Suspended,1/21/25,0,Stevenson Complex,Suspended
26,002025000945,Criminal Damage To Govern. Sup.,1/21/25,15:31:00,1/19/25,16:00:00,NA,Northern View Open,1/21/25,0,Northern View,Open
27,002025000990,Stalking,1/21/25,11:30:00,1/21/25,11:30:00,NA,Psychology / Computer Science Suspended,1/21/25,0,Psychology / Computer Science,Suspended
28,002025000992,Criminal Defacement Of Property,1/21/25,16:43:00,1/21/25,16:43:00,NA,Psychology / Computer Science Suspended,1/21/25,0,Psychology / Computer Science,Suspended
29,002025001003,Criminal Sexual Assault,1/21/25,19:43:00,1/21/25,19:43:00,NA,Grant Complex Suspended,1/21/25,0,Grant Complex,Suspended
30,002025001005,"Tamper w/Sec, Fire, Life Safety Systems",1/21/25,20:02:00,1/21/25,20:02:00,NA,Stevenson Complex Suspended,1/21/25,0,Stevenson Complex,Suspended
31,002024005267,Battery,4/19/24,5:36:00,4/19/24,5:36:00,NA,Neptune Complex Closed By,1/22/25,0,Neptune Complex,Closed By
32,002024005267,Battery,4/19/24,5:36:00,4/19/24,5:36:00,NA,Closed By,1/22/25,Unknown,Neptune Complex,Closed By
33,002025000983,Leaving Scene Property Damage,1/22/25,7:38:00,1/22/25,7:30:00,NA,Lot C Closed By,1/22/25,0,Lot C,Closed By
34,002025001002,Criminal Trespass To Real Property,1/22/25,1:34:00,1/22/25,1:38:00,NA,Grant North Closed By,1/22/25,0,Grant North,Closed By
35,002025001094,Illegal Possession Of Alcohol By,1/24/25,2:46:00,1/24/25,2:46:00,NA,Stevenson North Suspended,1/24/25,0,Stevenson North,Suspended
36,002025001130,False Fire Alarm,1/24/25,9:01:00,1/24/25,9:01:00,NA,Parking Deck Suspended,1/24/25,0,Parking Deck,Suspended
37,002025001265,Battery,1/24/25,8:53:00,1/24/25,8:53:00,NA,Neptune West Suspended,1/24/25,0,Neptune West,Suspended
38,002025001363,Battery,1/24/25,9:32:00,1/24/25,9:32:00,NA,Stevenson North Suspended,1/24/25,0,Stevenson North,Suspended
39,002024015140,Theft $500 and Under,11/15/24,6:17:00,11/15/24,6:00:00,NA,Altgeld Hall Suspended,1/25/25,0,Altgeld Hall,Suspended
40,002024015140,Theft of Lost or Mislaid Property,11/15/24,6:17:00,11/15/24,6:00:00,NA,Suspended,1/25/25,Unknown,Altgeld Hall,Suspended
41,002025000338,Burglary,1/10/25,8:40:00,1/8/25,7:00:00,NA,Swen Parson Closed By,1/25/25,0,Swen Parson,Closed By
42,002025000338,Theft Over $500,1/10/25,8:40:00,1/8/25,7:00:00,NA,Closed By,1/25/25,Unknown,Swen Parson,Closed By
43,002024013944,Intimidation,10/23/24,15:02:00,10/23/24,15:02:00,NA,Neptune East Suspended,1/26/25,0,Neptune East,Suspended
44,002025001230,Leaving Scene Property Damage,1/26/25,14:51:00,1/26/25,14:35:00,NA,Lucinda And Stadium Dr E Open,1/26/25,0,Lucinda Ave & Stadium Dr E,Open
45,002025001230,Leaving Scene of Property Damage Accident,1/26/25,14:51:00,1/26/25,14:35:00,NA,Open,1/26/25,Unknown,Lucinda Ave & Stadium Dr E,Open
46,002025001232,Disorderly Conduct,1/26/25,19:55:00,1/26/25,19:50:00,NA,Patterson Hall East Open,1/26/25,0,Patterson Hall East,Open
47,002025001240,Illegal Consumption Of Alcohol By,1/27/25,0:18:00,1/27/25,0:18:00,NA,Stevenson North Closed By,1/27/25,0,Stevenson North,Closed By
48,002025001240,"Tamper w/Sec, Fire, Life Safety Sys.",1/27/25,0:18:00,1/27/25,0:18:00,NA,Closed By,1/27/25,Unknown,Stevenson North,Closed By
49,002025001240,Illegal Consumption of Alcohol by a Minor,1/27/25,0:18:00,1/27/25,0:18:00,NA,Closed By,1/27/25,Unknown,Stevenson North,Closed By
50,002025001240,Illegal Consumption of Alcohol by a Minor,1/27/25,0:18:00,1/27/25,0:18:00,NA,Closed By,1/27/25,Unknown,Stevenson North,Closed By
51,002025001241,Disorderly Conduct,1/27/25,0:51:00,1/26/25,19:50:00,NA,Patterson Hall East Open,1/27/25,0,Patterson Hall East,Open
52,002025001247,"Tamper w/Sec, Fire, Life Safety Sys.",1/27/25,2:31:00,1/27/25,2:25:00,NA,Stevenson North Closed By,1/27/25,0,Stevenson North,Closed By
53,002025001275,Battery,1/27/25,16:36:00,1/27/25,16:36:00,NA,5 Northern View Cir Suspended,1/27/25,0,5 Northern View Cir,Suspended
54,002025001305,Domestic Battery,1/28/25,1:55:00,1/28/25,1:50:00,NA,Stevenson North Closed By,1/28/25,0,Stevenson North,Closed By
55,002025001313,Theft $500 and Under,1/28/25,4:05:00,1/28/25,4:05:00,NA,Gilbert Hall Open,1/28/25,0,Gilbert Hall,Open
56,002025001322,Theft $500 and Under,1/28/25,8:00:00,1/28/25,8:00:00,NA,Recreation Center Open,1/28/25,0,Recreation Center,Open
57,002025001365,Gambling-Betting Or Wagering,1/28/25,2:42:00,1/28/25,2:42:00,NA,Recreation Center Suspended,1/28/25,0,Recreation Center,Suspended
58,002025001232,Disorderly Conduct,1/26/25,19:55:00,1/26/25,19:50:00,NA,Patterson Hall East Suspended,1/29/25,0,Patterson Hall East,Suspended
59,002025001230,Leaving Scene Property Damage,1/26/25,14:51:00,1/26/25,14:35:00,NA,Lucinda And Stadium Dr E Suspended,1/30/25,0,Lucinda Ave & Stadium Dr E,Suspended
60,002025001230,Accident,1/26/25,14:51:00,1/26/25,14:35:00,NA,Suspended,1/30/25,Unknown,Lucinda Ave & Stadium Dr E,Suspended
61,002025001417,Illegal Consumption Of Alcohol By,1/30/25,8:29:00,1/30/25,8:30:00,NA,Stevenson South Cleared - Adult,1/30/25,0,Stevenson South,Cleared - Adult Arrest
62,002025001424,Harassment through Electronic,1/30/25,11:39:00,1/29/25,11:26:00,NA,"DeKalb, IL Open",1/30/25,0,"DeKalb, IL",Open
63,002025001507,Theft $500 and Under,1/31/25,11:23:00,1/30/25,6:00:00,NA,Neptune North Unfounded,1/31/25,0,Neptune North,Unfounded
64,002025001673,Public Indecency,1/31/25,1:27:00,1/31/25,1:27:00,NA,Grant North Suspended,1/31/25,0,Grant North,Suspended
