...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column,Full_Address,Latitude,Longitude
0,2025000052,Criminal Sexual Assault,1/2/25,1:50:00,1/2/25,1:50:00,,"DeKalb, IL Referred To",1/2/25,0,"DeKalb, IL",Referred To,"DeKalb, IL, USA",41.9295355,-88.74991279999999
1,2024015726,Stalking,11/26/24,12:04:00,9/1/24,12:00:00,,Patterson Hall West Closed By,1/6/25,0,Patterson Hall West,Closed By,"1175 Lincoln Dr N, DeKalb, IL 60115, USA",41.9381736,-88.7753245
2,2025000274,Motor Vehicle Theft,1/7/25,11:19:00,1/7/25,11:15:00,,Lot X Open,1/7/25,0,Lot X,Open,"615 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9401608,-88.7737255
3,2025000274,Theft Over $500,1/7/25,11:19:00,1/7/25,11:15:00,,Open,1/7/25,Unknown,Lot X,Open,"615 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9401608,-88.7737255
4,2025000294,Disorderly Conduct,1/8/25,9:05:00,1/8/25,12:03:00,,5 Northern View Cir Suspended,1/8/25,0,5 Northern View Cir,Suspended,"5 Northern View Cir, DeKalb, IL 60115, USA",41.9414577,-88.78853319999999
5,2024013138,Criminal Sexual Assault,10/8/24,21:41:00,10/8/24,21:41:00,,Stevenson Complex Closed By,1/9/25,0,Stevenson Complex,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
6,2025000274,Motor Vehicle Theft,1/7/25,23:19:00,1/7/25,23:15:00,,Lot X Closed By,1/9/25,0,Lot X,Closed By,"615 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9401608,-88.7737255
7,2025000274,Theft Over $500,1/7/25,23:19:00,1/7/25,23:15:00,,Closed By,1/9/25,Unknown,Lot X,Closed By,"615 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9401608,-88.7737255
8,2025000528,Domestic Battery,1/9/25,16:32:00,1/9/25,16:32:00,,Stevenson South Suspended,1/9/25,0,Stevenson South,Suspended,"420 Stadium Dr W, DeKalb, IL 60115, USA",41.9367805,-88.78006119999999
9,2025000528,Unlawful Restraint,1/9/25,16:32:00,1/9/25,16:32:00,,Suspended,1/9/25,Unknown,Stevenson South,Suspended,"420 Stadium Dr W, DeKalb, IL 60115, USA",41.9367805,-88.78006119999999
10,2025000338,Burglary,1/10/25,8:40:00,1/8/25,7:00:00,,Swen Parson Open,1/10/25,0,Swen Parson,Open,"230 Normal Rd, DeKalb, IL 60115, USA",41.9343468,-88.7652571
11,2025000338,Theft Over $500,1/10/25,8:40:00,1/8/25,7:00:00,,Open,1/10/25,Unknown,Swen Parson,Open,"230 Normal Rd, DeKalb, IL 60115, USA",41.9343468,-88.7652571
12,2025000534,Disorderly Conduct,1/13/25,15:08:00,1/13/25,15:00:00,,Holmes Student Center Closed By,1/13/25,0,Holmes Student Center,Closed By,"340 Carroll Ave, DeKalb, IL 60115, USA",41.9357911,-88.7665667
13,2025000536,Criminal Trespass To Real Property,1/13/25,16:19:00,1/13/25,16:19:00,,Holmes Student Center Closed By,1/13/25,0,Holmes Student Center,Closed By,"340 Carroll Ave, DeKalb, IL 60115, USA",41.9357911,-88.7665667
14,2025000941,"Tamper w/Sec, Fire, or Life Safety",1/15/25,23:14:00,1/15/25,23:14:00,,Grant North Suspended,1/15/25,0,Grant North,Suspended,"1250 Grant Dr N, DeKalb, IL 60115, USA",41.9378061,-88.7772025
15,2024011909,Theft $500 and Under,9/16/24,11:41:00,5/8/24,6:30:00,,Neptune West Suspended,1/16/25,0,Neptune West,Suspended,"800 Lucinda Ave, DeKalb, IL 60115, USA",41.9356691,-88.769352
16,2024015666,Theft $500 and Under,11/25/24,12:31:00,11/14/24,8:04:00,,Northern View Suspended,1/16/25,0,Northern View,Suspended,"1 Northern View Circle, DeKalb, IL 60115, USA",41.9404968,-88.7890204
17,2025000765,Criminal Trespass To Real Property,1/17/25,2:43:00,1/17/25,3:28:00,,Grant Complex Closed By,1/17/25,0,Grant Complex,Closed By,"1250 Grant Dr N, DeKalb, IL 60115, USA",41.9378061,-88.7772025
18,2025000775,Criminal Sexual Abuse,1/17/25,9:20:00,1/15/25,15:30:00,,"Rockford, IL Referred To",1/17/25,0,"Rockford, IL",Referred To,"Rockford, IL, USA",42.2711311,-89.0939952
19,2025000787,"Tamper w/Sec, Fire, or Life Safety",1/17/25,16:44:00,1/17/25,16:44:00,,Grant North Suspended,1/17/25,0,Grant North,Suspended,"1250 Grant Dr N, DeKalb, IL 60115, USA",41.9378061,-88.7772025
20,2025000815,Domestic Battery,1/18/25,10:20:00,1/18/25,10:15:00,,Patterson Hall East Suspended,1/18/25,0,Patterson Hall East,Suspended,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9384848,-88.7740353
21,2024015140,Theft $500 and Under,11/15/24,6:17:00,11/15/24,6:00:00,,Altgeld Hall Open,1/20/25,0,Altgeld Hall,Open,"595 College Ave, DeKalb, IL 60115, USA",41.9344302,-88.7640364
22,2024015140,Theft of Lost or Mislaid Property,11/15/24,6:17:00,11/15/24,6:00:00,,Open,1/20/25,Unknown,Altgeld Hall,Open,"595 College Ave, DeKalb, IL 60115, USA",41.9344302,-88.7640364
23,2025000871,Battery,1/20/25,12:42:00,1/20/25,12:30:00,,Holmes Student Center Open,1/20/25,0,Holmes Student Center,Open,"340 Carroll Ave, DeKalb, IL 60115, USA",41.9357911,-88.7665667
24,2025000919,Intimidation,1/21/25,10:24:00,12/18/24,12:00:00,,Neptune West Open,1/21/25,0,Neptune West,Open,"800 Lucinda Ave, DeKalb, IL 60115, USA",41.9356691,-88.769352
25,2025000943,"Tamper w/Sec, Fire, Life Safety Systems",1/21/25,14:44:00,1/21/25,7:00:00,,Stevenson Complex Suspended,1/21/25,0,Stevenson Complex,Suspended,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
26,2025000945,Criminal Damage To Govern. Sup.,1/21/25,15:31:00,1/19/25,16:00:00,,Northern View Open,1/21/25,0,Northern View,Open,"1 Northern View Circle, DeKalb, IL 60115, USA",41.9404968,-88.7890204
27,2025000990,Stalking,1/21/25,11:30:00,1/21/25,11:30:00,,Psychology / Computer Science Suspended,1/21/25,0,Psychology / Computer Science,Suspended,"100 Normal Rd, DeKalb, IL 60115, USA",41.9316053,-88.7650809
28,2025000992,Criminal Defacement Of Property,1/21/25,16:43:00,1/21/25,16:43:00,,Psychology / Computer Science Suspended,1/21/25,0,Psychology / Computer Science,Suspended,"100 Normal Rd, DeKalb, IL 60115, USA",41.9316053,-88.7650809
29,2025001003,Criminal Sexual Assault,1/21/25,19:43:00,1/21/25,19:43:00,,Grant Complex Suspended,1/21/25,0,Grant Complex,Suspended,"1250 Grant Dr N, DeKalb, IL 60115, USA",41.9378061,-88.7772025
30,2025001005,"Tamper w/Sec, Fire, Life Safety Systems",1/21/25,20:02:00,1/21/25,20:02:00,,Stevenson Complex Suspended,1/21/25,0,Stevenson Complex,Suspended,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
31,2024005267,Battery,4/19/24,5:36:00,4/19/24,5:36:00,,Neptune Complex Closed By,1/22/25,0,Neptune Complex,Closed By,"770 Lucinda Ave, DeKalb, IL 60115, USA",41.9353583,-88.7685953
32,2024005267,Battery,4/19/24,5:36:00,4/19/24,5:36:00,,Closed By,1/22/25,Unknown,Neptune Complex,Closed By,"770 Lucinda Ave, DeKalb, IL 60115, USA",41.9353583,-88.7685953
33,2025000983,Leaving Scene Property Damage,1/22/25,7:38:00,1/22/25,7:30:00,,Lot C Closed By,1/22/25,0,Lot C,Closed By,"890 Lucinda Avenue, DeKalb, IL 60115, USA",41.936333,-88.7704329
34,2025001002,Criminal Trespass To Real Property,1/22/25,1:34:00,1/22/25,1:38:00,,Grant North Closed By,1/22/25,0,Grant North,Closed By,"1250 Grant Dr N, DeKalb, IL 60115, USA",41.9378061,-88.7772025
35,2025001094,Illegal Possession Of Alcohol By,1/24/25,2:46:00,1/24/25,2:46:00,,Stevenson North Suspended,1/24/25,0,Stevenson North,Suspended,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
