...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column,Full_Address,Latitude,Longitude
0,2024015945,Leaving Scene Property Damage,12/2/24,5:13:00,12/1/24,9:40:00,,Lot P Open,12/2/24,0,Lot P,Open,"455 Stadium Dr W, DeKalb, IL 60115, USA",41.9386507,-88.7780702
1,2024015564,Contributing To Depend./Neglect,11/22/24,7:45:00,11/22/24,7:46:00,,Holmes Student Center Referred To,12/3/24,0,Holmes Student Center,Referred To,"340 Carroll Ave, DeKalb, IL 60115, USA",41.9357911,-88.7665667
2,2024015971,Leaving Scene Property Damage,12/3/24,10:52:00,12/3/24,12:00:00,"12/3/2024 Health, Wellness, & Literacy Center Open 12/03/2024",Unknown,12/3/24,0,"Health, Wellness, & Literacy Center ",,"3100 Sycamore Rd, DeKalb, IL 60115, USA",41.963739,-88.7184946
3,2024016094,"Tamper w/Sec, Fire, or Life Safety",12/3/24,18:00:00,11/27/24,13:00:00,,Patterson Hall East Suspended,12/3/24,0,Patterson Hall East,Suspended,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9384848,-88.7740353
4,2024016015,Leaving Scene Property Damage,12/4/24,10:24:00,12/4/24,10:24:00,,Lot 3 Open,12/4/24,0,Lot 3,Open,"300 Gilbert Dr, DeKalb, IL 60115, USA",41.9341817,-88.7621762
5,2024016027,Leaving Scene Property Damage,12/4/24,1:23:00,12/4/24,1:23:00,,Lot S Suspended,12/4/24,0,Lot S,Suspended,"212 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9326398,-88.77245
6,2024014844,Unlawful Use Of Weapon,11/9/24,11:27:00,11/9/24,11:27:00,,Holmes Student Center Closed By,12/5/24,0,Holmes Student Center,Closed By,"340 Carroll Ave, DeKalb, IL 60115, USA",41.9357911,-88.7665667
7,2024014844,Unauthorized Possession or Storage of Weapons,11/9/24,11:27:00,11/9/24,11:27:00,,Closed By,12/5/24,Unknown,Holmes Student Center,Closed By,"340 Carroll Ave, DeKalb, IL 60115, USA",41.9357911,-88.7665667
8,2024016103,Battery,12/5/24,11:05:00,12/5/24,11:05:00,,Founders Memorial Library Closed By,12/5/24,0,Founders Memorial Library,Closed By,"217 Normal Rd, DeKalb, IL 60115, USA",41.93398550000001,-88.7663644
9,2024016112,Harassment through Electronic Communications,12/5/24,2:31:00,12/5/24,2:31:00,,Closed By,12/5/24,0,"998 Regent Dr, DeKalb IL",Closed By,"998 Regent Dr, DeKalb, IL 60115, USA",41.9455899,-88.7775882
